wallet_address,credit_score,cluster,transaction_count,liquidation_count,repayment_consistency_ratio,collateral_health_score
0xdf368abe1d4dbc5352acf6cef88967be0e33e65c,100,0,3,0,0.0,100.0
0x502cb8985b2c92a8d4bf309cdaa89de9be442708,100,1,149,0,2.3333333333333335,100.0
0xc8355d0e2c265b2fe495ebbc0fc9ad992b40dc8f,100,0,6,0,1.0,100.0
0xa7ff0d561cd15ed525e31bbe0af3fe34ac2059f6,100,0,8,0,0.0,100.0
0x2025a9196d6fa1011080845c6877f6460cdb302b,100,0,8,0,0.0,100.0
0x6316ff9d2c96b6b122e0dd632ab5831e0bf5bd10,100,0,8,0,1.0,100.0
0xbd9ed130a53cfafcf81502e4d35329a6c4d53410,100,0,28,0,1.0,100.0
0xb7625573f98f436554fde189bba8f1cdb57a6b97,100,0,6,0,0.0,100.0
0x4654f56a64301b9b582f843f97332d96ead11ff8,100,1,191,0,1.9870129870129871,100.0
0x419385075dff229926a63812ac1adc397ac32e27,100,0,6,0,0.0,100.0
0xb3fbe25be2e8ca097e9ac924e94af000dd3a5663,100,0,22,0,0.5,100.0
0x869ec00fa1dc112917c781942cc01c68521c415e,100,0,3,0,0.0,100.0
0x4da2e85d64bece663ccab06e89b970b6b077f22f,100,0,4,0,0.0,100.0
0xc6f6c89f7f297b5230d2fd028ac06f0677c1857b,100,0,7,0,0.0,100.0
0x0f3c2476fbf0ed09dff00ea7f4ef252dcc72e6f1,100,1,191,0,3.9478260869565216,100.0
0x2cb6e0d54a9f11a3845a9f7c2d0da033e76a65f1,100,0,10,0,0.0,100.0
0x4650e8c294e74c3bdad60b087ba3f83790675630,100,0,3,0,0.0,100.0
0x07e95d25cc81ede3716c331c532b9061a8b2d93a,100,0,3,0,0.0,100.0
0xc587a54fed0592e8e8002feb2c2094d68123bec5,100,0,4,0,0.0,100.0
0xb8196b7a3e3afb226c629127735fbbc9b5e0758e,100,0,4,0,0.0,100.0
0xdd8c96399d5c16456910e58837c2da8224568ccb,100,0,3,0,0.0,100.0
0x2a1f182e58d4c5159fd73a843e8d5cfcdd2c2978,100,0,4,0,0.0,100.0
0x731b675845a7c66f77ccb456728100eb85dd0a2e,100,0,7,0,0.0,100.0
0x09bffec48df3554e28004788e57dd55fae471b4d,100,0,3,0,0.0,100.0
0xd15e0c0501661078bfc257376696c8dbabb19729,100,0,3,0,0.0,100.0
0xe9d942726ec7a457ae5c3fd0370b2c1f88ebd3c9,100,0,3,0,0.0,100.0
0x9b977ff6b1ddc747ecbb8cdab2c750230ac08888,100,0,3,0,0.0,100.0
0x1f3813ef296a756718e76e898532258faa256a2d,100,0,3,0,0.0,100.0
0x43776a045c7267d660fbec0734dd875e7e43be27,100,0,13,0,0.0,100.0
